country,region
Albania,Central Asia and Central and Eastern Europe
Armenia,Central Asia and Central and Eastern Europe
Azerbaijan,Central Asia and Central and Eastern Europe
Belarus,Central Asia and Central and Eastern Europe
Bosnia and Herzegovina,Central Asia and Central and Eastern Europe
Bulgaria,Central Asia and Central and Eastern Europe
Croatia,Central Asia and Central and Eastern Europe
Czech Republic,Central Asia and Central and Eastern Europe
Estonia,Central Asia and Central and Eastern Europe
Georgia,Central Asia and Central and Eastern Europe
Hungary,Central Asia and Central and Eastern Europe
Kazakhstan,Central Asia and Central and Eastern Europe
Kyrgyzstan,Central Asia and Central and Eastern Europe
Latvia,Central Asia and Central and Eastern Europe
Lithuania,Central Asia and Central and Eastern Europe
Macedonia (TFYR),Central Asia and Central and Eastern Europe
Moldova,Central Asia and Central and Eastern Europe
Mongolia,Central Asia and Central and Eastern Europe
Montenegro,Central Asia and Central and Eastern Europe
Poland,Central Asia and Central and Eastern Europe
Romania,Central Asia and Central and Eastern Europe
Russian Federation,Central Asia and Central and Eastern Europe
Serbia,Central Asia and Central and Eastern Europe
Slovakia,Central Asia and Central and Eastern Europe
Slovenia,Central Asia and Central and Eastern Europe
Tajikistan,Central Asia and Central and Eastern Europe
Ukraine,Central Asia and Central and Eastern Europe
Algeria,North Africa and Middle East
Bahrain,North Africa and Middle East
Egypt,North Africa and Middle East
Iran,North Africa and Middle East
Iraq,North Africa and Middle East
Jordan,North Africa and Middle East
Kuwait,North Africa and Middle East
Lebanon,North Africa and Middle East
Morocco,North Africa and Middle East
Oman,North Africa and Middle East
Qatar,North Africa and Middle East
Saudi Arabia,North Africa and Middle East
Syrian Arab Republic,North Africa and Middle East
Tunisia,North Africa and Middle East
Turkey,North Africa and Middle East
United Arab Emirates,North Africa and Middle East
Yemen,North Africa and Middle East
Australia,High-income countries
Austria,High-income countries
Belgium,High-income countries
Canada,High-income countries
Cyprus,High-income countries
Denmark,High-income countries
Finland,High-income countries
France,High-income countries
Germany,High-income countries
Greece,High-income countries
Iceland,High-income countries
Ireland,High-income countries
Israel,High-income countries
Italy,High-income countries
Japan,High-income countries
Luxembourg,High-income countries
Malta,High-income countries
Netherlands,High-income countries
New Zealand,High-income countries
Norway,High-income countries
Portugal,High-income countries
Singapore,High-income countries
South Korea,High-income countries
Spain,High-income countries
Sweden,High-income countries
Switzerland,High-income countries
United Kingdom,High-income countries
United States of America,High-income countries
Argentina,Latin America and the Caribbean
Bahamas,Latin America and the Caribbean
Barbados,Latin America and the Caribbean
Belize,Latin America and the Caribbean
Bolivia,Latin America and the Caribbean
Brazil,Latin America and the Caribbean
Chile,Latin America and the Caribbean
Colombia,Latin America and the Caribbean
Costa Rica,Latin America and the Caribbean
Cuba,Latin America and the Caribbean
Dominican Republic,Latin America and the Caribbean
Ecuador,Latin America and the Caribbean
El Salvador,Latin America and the Caribbean
Guatemala,Latin America and the Caribbean
Guyana,Latin America and the Caribbean
Honduras,Latin America and the Caribbean
Jamaica,Latin America and the Caribbean
Mexico,Latin America and the Caribbean
Nicaragua,Latin America and the Caribbean
Panama,Latin America and the Caribbean
Paraguay,Latin America and the Caribbean
Peru,Latin America and the Caribbean
Suriname,Latin America and the Caribbean
Trinidad and Tobago,Latin America and the Caribbean
Uruguay,Latin America and the Caribbean
Venezuela,Latin America and the Caribbean
Afghanistan,South and Southeast Asia and Oceania
Bangladesh,South and Southeast Asia and Oceania
Bhutan,South and Southeast Asia and Oceania
Brunei Darussalam,South and Southeast Asia and Oceania
Cambodia,South and Southeast Asia and Oceania
China,South and Southeast Asia and Oceania
Fiji,South and Southeast Asia and Oceania
India,South and Southeast Asia and Oceania
Indonesia,South and Southeast Asia and Oceania
Lao PDR,South and Southeast Asia and Oceania
Malaysia,South and Southeast Asia and Oceania
Maldives,South and Southeast Asia and Oceania
Myanmar,South and Southeast Asia and Oceania
Nepal,South and Southeast Asia and Oceania
Pakistan,South and Southeast Asia and Oceania
Papua New Guinea,South and Southeast Asia and Oceania
Philippines,South and Southeast Asia and Oceania
Sri Lanka,South and Southeast Asia and Oceania
Thailand,South and Southeast Asia and Oceania
Timor-Leste,South and Southeast Asia and Oceania
Vanuatu,South and Southeast Asia and Oceania
Viet Nam,South and Southeast Asia and Oceania
Angola,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Botswana,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cabo Verde,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Cote d'Ivoire,Sub-Saharan Africa
DR Congo,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Kenya,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mozambique,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Rwanda,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
Swaziland,Sub-Saharan Africa
Tanzania,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa